,prices,whole_milk_Product,Milk_size
0,3.29,"Cream-O-Land Milk, Whole",64.0
1,6.09,Oatly Oatmilk,64.0
2,6.59,Lactaid Whole Milk,64.0
3,6.59,Lactaid Whole Milk,64.0
4,7.69,Horizon Organic Whole High Vitamin D Milk,64.0
5,7.69,Organic Valley Ultra Pasteurized 0% Fat Milk,64.0
6,8.29,Organic Valley Whole Milk,64.0
7,8.29,Organic Valley 2% Milk,64.0
8,8.29,Organic Valley Whole Milk,64.0
9,8.29,Horizon Organic DHA Omega-3 Vitamin D Organic Whole Milk,64.0
10,8.29,Organic Valley Ultra Pasteurized Lowfat Organic 1% Milk,64.0
11,8.29,Horizon Organic Lactose-Free Vitamin D Organic Whole Milk,64.0
12,8.49,Stonyfield Organic Whole Milk,64.0
13,8.59,Horizon Organic Whole Grassfed Milk,64.0
14,9.39,Organic Valley Grassmilk Organic Whole Milk,64.0
15,11.59,DairyPure Half & Half Ultra-Pasteurized Half Gallon Paper Carton Gable Top,64.0
